2018-07-10 23:13:17,469:qtcode.testview:DEBUG:testview is initialized
2018-07-10 23:13:17,515:qtcode.exampleview:DEBUG:exampleview created
2018-07-10 23:14:26,337:consoleview:INFO:(414, 408)
2018-07-10 23:14:26,440:consoleview:INFO:(388, 319)
2018-07-10 23:14:26,544:consoleview:INFO:(418, 222)
2018-07-10 23:14:26,648:consoleview:INFO:(448, 176)
2018-07-10 23:14:26,753:consoleview:INFO:(465, 148)
2018-07-10 23:14:26,858:consoleview:INFO:(475, 130)
2018-07-10 23:14:26,963:consoleview:INFO:(487, 120)
2018-07-10 23:14:27,068:consoleview:INFO:(373, 117)
2018-07-10 23:14:27,172:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,276:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,383:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,490:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,596:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,700:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,807:consoleview:INFO:(352, 117)
2018-07-10 23:14:27,915:consoleview:INFO:(352, 117)
2018-07-10 23:14:28,018:consoleview:INFO:(352, 117)
2018-07-10 23:14:28,126:consoleview:INFO:(352, 117)
2018-07-10 23:14:28,229:consoleview:INFO:(352, 117)
2018-07-10 23:14:28,333:consoleview:INFO:(352, 117)
2018-07-10 23:14:55,809:consoleview:WARNING:Traceback (most recent call last):

2018-07-10 23:14:55,824:consoleview:WARNING:  File "C:\Users\seoung\workspace\pytool\pydevtoolplatform\console\console.py", line 37, in cexec
    exec(c, globals())

2018-07-10 23:14:55,837:consoleview:WARNING:  File "<string>", line 2, in <module>

2018-07-10 23:14:55,841:consoleview:WARNING:ModuleNotFoundError: No module named 'pywinauto'

2018-07-10 23:15:56,655:qtcode.testview:DEBUG:testview is initialized
2018-07-10 23:15:56,696:qtcode.exampleview:DEBUG:exampleview created
2018-07-10 23:16:13,635:consoleview:WARNING:C:\Users\seoung\AppData\Roaming\Python\Python36\site-packages\pywinauto\__init__.py:64: UserWarning: Revert to STA COM threading mode
  warnings.warn("Revert to STA COM threading mode", UserWarning)

2018-07-10 23:16:15,395:consoleview:INFO:(1137, 429)
2018-07-10 23:16:15,506:consoleview:INFO:(1137, 429)
2018-07-10 23:16:15,609:consoleview:INFO:(1137, 429)
2018-07-10 23:16:15,713:consoleview:INFO:(1137, 429)
2018-07-10 23:16:15,819:consoleview:INFO:(1137, 429)
2018-07-10 23:16:15,923:consoleview:INFO:(1137, 429)
2018-07-10 23:16:16,030:consoleview:INFO:(870, 487)
2018-07-10 23:16:16,148:consoleview:INFO:(834, 487)
2018-07-10 23:16:16,256:consoleview:INFO:(834, 487)
2018-07-10 23:16:16,362:consoleview:INFO:(834, 487)
2018-07-10 23:16:16,466:consoleview:INFO:(810, 492)
2018-07-10 23:16:16,573:consoleview:INFO:(768, 420)
2018-07-10 23:16:16,680:consoleview:INFO:(651, 165)
2018-07-10 23:16:16,785:consoleview:INFO:(651, 159)
2018-07-10 23:16:16,888:consoleview:INFO:(672, 156)
2018-07-10 23:16:16,991:consoleview:INFO:(711, 137)
2018-07-10 23:16:17,095:consoleview:INFO:(711, 137)
2018-07-10 23:16:17,536:consoleview:INFO:(438, 160)
2018-07-10 23:16:17,639:consoleview:INFO:(457, 217)
2018-07-10 23:16:17,742:consoleview:INFO:(608, 593)
2018-07-10 23:16:17,845:consoleview:INFO:(662, 685)
2018-07-10 23:16:17,950:consoleview:INFO:(751, 738)
2018-07-10 23:16:18,053:consoleview:INFO:(808, 755)
2018-07-10 23:16:18,160:consoleview:INFO:(830, 716)
2018-07-10 23:16:18,267:consoleview:INFO:(830, 716)
2018-07-10 23:16:18,374:consoleview:INFO:(938, 810)
2018-07-10 23:16:18,478:consoleview:INFO:(979, 821)
2018-07-10 23:16:18,583:consoleview:INFO:(979, 821)
2018-07-10 23:16:18,688:consoleview:INFO:(979, 821)
2018-07-10 23:16:18,795:consoleview:INFO:(979, 821)
2018-07-10 23:16:18,903:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,011:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,119:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,227:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,335:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,444:consoleview:INFO:(979, 821)
2018-07-10 23:16:19,551:consoleview:INFO:(986, 821)
2018-07-10 23:16:19,659:consoleview:INFO:(1097, 833)
2018-07-10 23:16:19,766:consoleview:INFO:(1156, 845)
2018-07-10 23:16:19,875:consoleview:INFO:(1186, 855)
2018-07-10 23:16:19,982:consoleview:INFO:(1213, 857)
2018-07-10 23:16:20,086:consoleview:INFO:(1226, 857)
2018-07-10 23:16:20,194:consoleview:INFO:(1233, 857)
2018-07-10 23:16:20,301:consoleview:INFO:(1235, 857)
2018-07-10 23:16:20,408:consoleview:INFO:(1237, 857)
2018-07-10 23:16:20,511:consoleview:INFO:(1237, 857)
2018-07-10 23:16:20,619:consoleview:INFO:(1243, 857)
2018-07-10 23:16:20,724:consoleview:INFO:(1243, 857)
2018-07-10 23:16:20,831:consoleview:INFO:(1243, 857)
2018-07-10 23:16:20,938:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,042:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,148:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,255:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,362:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,469:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,575:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,682:consoleview:INFO:(1243, 857)
2018-07-10 23:16:21,788:consoleview:INFO:(1243, 862)
2018-07-10 23:16:21,895:consoleview:INFO:(1243, 862)
2018-07-10 23:16:22,001:consoleview:INFO:(1243, 862)
